id,stratifiedNarrative,stratifiedCommaLabel
11,"某校有教师300人，其中高级教师90人，中级教师150人，初级教师60人，为了了解教师的健康情况，从中抽取一个40人的样本，按分层抽样的方法抽取，其中高级教师的人数为（    ）。","某校有教师300人#，其中高级教师90人#，中级教师150人#，初级教师60人#，为了了解教师的健康情况#，从中抽取一个40人的样本#，按分层抽样的方法抽取#，其中高级教师的人数为（    ）。"
12,"某校选修乒乓球课程的学生中，高一年级有30名，高二年级有40名，现用分层抽样的方法在这70名学生中抽取一个样本，已知在高一年级的学生中抽取了6名，则在高二年级的学生中应抽取的人数为[ ]
","某校选修乒乓球课程的学生中#，高一年级有30名#，高二年级有40名#，现用分层抽样的方法在这70名学生中抽取一个样本#，已知在高一年级的学生中抽取了6名#，则在高二年级的学生中应抽取的人数为[ ]
"
13,"当前，国家正在分批修建经济适用房已解决低收入家庭住房紧张问题。甲、乙、丙三个社区现分别有低收入家庭150户、200户、100户，若第一批经济适用房中有90套用于解决这三个社区中90户低收入家庭的住房问题，现采用分层抽样的方法决定各社区的户数，则应从乙社区中抽取的低收入家庭的户数为[     ]","当前$，国家正在分批修建经济适用房已解决低收入家庭住房紧张问题。甲、乙、丙三个社区现分别有低收入家庭150户、200户、100户#，若第一批经济适用房中有90套用于解决这三个社区中90户低收入家庭的住房问题#，现采用分层抽样的方法决定各社区的户数#，则应从乙社区中抽取的低收入家庭的户数为[     ]"
14,"某学校有教师150人，其中高级教师15人，中级教师45人，初级教师90人。现按职称分层抽样选出30名教师参加教工代表大会，则选出的高、中、初级教师的人数分别为[     ]","某学校有教师150人#，其中高级教师15人#，中级教师45人#，初级教师90人。现按职称分层抽样选出30名教师参加教工代表大会#，则选出的高、中、初级教师的人数分别为[     ]"
15,"有A、B、C三种零件，其中B种零件300个，C种零件200个，采用分层抽样方法抽取一个容量为45的样本，A种零件被抽取20个，C种零件被抽取10个，三种零件总共有（    ）个。","有A、B、C三种零件#，其中B种零件300个#，C种零件200个#，采用分层抽样方法抽取一个容量为45的样本#，A种零件被抽取20个#，C种零件被抽取10个#，三种零件总共有（    ）个。"
16,"某电视台在因特网上就观众对某一节目的喜欢程度进行调查，参加调查的人数为20000人，其中持“最喜欢”、“喜欢”、“一般”和“不喜欢”态度的人数分别为4817、7188、6392、1603，电视台为了了解观众的具体想法和意见，打算从中抽出100人进行更为详细的调查，为此要进行分层抽样，那么在分层抽样时，每类人中各应抽出的人数近似为[     ]","某电视台在因特网上就观众对某一节目的喜欢程度进行调查#，参加调查的人数为20000人#，其中持“最喜欢”、“喜欢”、“一般”和“不喜欢”态度的人数分别为4817、7188、6392、1603#，电视台为了了解观众的具体想法和意见#，打算从中抽出100人进行更为详细的调查#，为此要进行分层抽样#，那么在分层抽样时$，每类人中各应抽出的人数近似为[     ]"
17,"某单位共有老、中、青职工430人，其中青年职工160人，中年职工人数是老年职工人数的2倍。为了解职工身体状况，现采用分层抽样方法进行调查，在抽取的样本中有青年职工32人，则该样本中的老年职工人数为[     ]","某单位共有老、中、青职工430人#，其中青年职工160人#，中年职工人数是老年职工人数的2倍。为了解职工身体状况#，现采用分层抽样方法进行调查#，在抽取的样本中有青年职工32人#，则该样本中的老年职工人数为[     ]"
18,为了解某市800家企业的管理情况，拟抽取40家企业作为样本进行调查，这800家企业中有外资企业160家，私营企业320家，国有企业240家，其他性质企业80家，如何抽取较合理？,为了解某市800家企业的管理情况#，拟抽取40家企业作为样本进行调查#，这800家企业中有外资企业160家#，私营企业320家#，国有企业240家#，其他性质企业80家#，如何抽取较合理？
19,"经问卷调查，某班学生对摄影分别执“喜欢”、“不喜欢”和“一般”三种态度，其中执 “一般”态度的比“不喜欢”态度的多12人，按分层抽样方法从全班选出部分学生座谈摄影，如果选出的5位“喜欢”摄影的同学、1位“不喜欢”摄影的同学和3位执“一般”态度的同学，那么全班学生中“喜欢”摄影的比全班人数的一半还多（    ）人。","经问卷调查$，某班学生对摄影分别执“喜欢”、“不喜欢”和“一般”三种态度#，其中执 “一般”态度的比“不喜欢”态度的多12人#，按分层抽样方法从全班选出部分学生座谈摄影#，如果选出的5位“喜欢”摄影的同学、1位“不喜欢”摄影的同学和3位执“一般”态度的同学#，那么全班学生中“喜欢”摄影的比全班人数的一半还多（    ）人。"
20,"设甲、乙、丙三个加工厂共生产玩具6000件，其中甲厂生产了1440件，现采用分层抽样的方法从三个加工厂抽取一个容量为500件的样本进行质量检测，则应从甲加工厂抽取（    ）件玩具。","设甲、乙、丙三个加工厂共生产玩具6000件#，其中甲厂生产了1440件#，现采用分层抽样的方法从三个加工厂抽取一个容量为500件的样本进行质量检测#，则应从甲加工厂抽取（    ）件玩具。"
21,"一个公司共有1000名员工，下设一些部门，要采用分层抽样方法从全体员工中抽取一个容量为50的样本，已知某部门有200名员工，那么从该部门抽取的工人数是（  ）。","一个公司共有1000名员工#，下设一些部门#，要采用分层抽样方法从全体员工中抽取一个容量为50的样本#，已知某部门有200名员工#，那么从该部门抽取的工人数是（  ）。"
22,"某地区有小学150所，中学75所，大学25所．先采用分层抽样的方法从这些学校中抽取30所学校对学生进行视力调查，应从小学中抽取（    ）所学校，中学中抽取（    ）所学校。","某地区有小学150所#，中学75所#，大学25所．先采用分层抽样的方法从这些学校中抽取30所学校对学生进行视力调查#，应从小学中抽取（    ）所学校#，中学中抽取（    ）所学校。"
23,某单位有职工1000人，其中青年职工450人，中年职工350人，老年职工200人，为了了解该单位职工的健康情况，用分层抽样的方法从中抽取样本，若样本中的中年职工为7人，则样本容量为（　　）,某单位有职工1000人#，其中青年职工450人#，中年职工350人#，老年职工200人#，为了了解该单位职工的健康情况#，用分层抽样的方法从中抽取样本#，若样本中的中年职工为7人#，则样本容量为（　　）
24,"某公司生产三种型号的轿车，产量分别为A型号1200辆、B型号6000辆和C型号2000辆. 为检验这三种型号轿车的质量，现用分层抽样的方法抽取46辆进行检验，那么C型号的轿车应抽取（    ）辆。","某公司生产三种型号的轿车$，产量分别为A型号1200辆、B型号6000辆和C型号2000辆. 为检验这三种型号轿车的质量#，现用分层抽样的方法抽取46辆进行检验#，那么C型号的轿车应抽取（    ）辆。"
25,"某年级有三个班级，人数分别为45、50、55，为加强班级学生民主化管理，拟就某项决策进行问卷调查，按分层抽样的方法抽取30人，则各个班级被抽取的人数分别为（    ）。","某年级有三个班级$，人数分别为45、50、55#，为加强班级学生民主化管理#，拟就某项决策进行问卷调查#，按分层抽样的方法抽取30人#，则各个班级被抽取的人数分别为（    ）。"
26,"某中学有学生3000人，其中高一、高三学生的人数是1200人、800人，为了解学生的视力情况，采用按年级分层抽样的方法，从该校学生中抽取一个480人的样本，则样本中高一、高二学生的人数共有多少人[     ]","某中学有学生3000人#，其中高一、高三学生的人数是1200人、800人#，为了解学生的视力情况#，采用按年级分层抽样的方法$，从该校学生中抽取一个480人的样本#，则样本中高一、高二学生的人数共有多少人[     ]"
27,"倡导绿色天津，崇尚健康生活。为打造绿色天津，某林业部门引进一批小叶榕、松柏、梧桐三种树苗，其数量之比为2：3：5，现用分层抽样方法抽出一个容量为n的样本，如果抽出的样本中小叶榕树苗有80棵，那么此样本的容量n=（    ）。","倡导绿色天津$，崇尚健康生活。为打造绿色天津#，某林业部门引进一批小叶榕、松柏、梧桐三种树苗$，其数量之比为2：3：5#，现用分层抽样方法抽出一个容量为n的样本#，如果抽出的样本中小叶榕树苗有80棵#，那么此样本的容量n=（    ）。"
28,"某校对全校男女学生共1600名进行健康调查，选用分层抽样法抽取一个容量为200的样本，已知女生比男生少抽了10人，则该校的女生人数应是（    ）人。","某校对全校男女学生共1600名进行健康调查#，选用分层抽样法抽取一个容量为200的样本#，已知女生比男生少抽了10人#，则该校的女生人数应是（    ）人。"
29,某校高中生共有900人，其中高一年级300人，高二年级200人，高三年级400人，现采用分层抽样法抽取一个容量为45的样本，那么从高一、高二、高三各年级抽取人数分别为______．,某校高中生共有900人#，其中高一年级300人#，高二年级200人#，高三年级400人#，现采用分层抽样法抽取一个容量为45的样本#，那么从高一、高二、高三各年级抽取人数分别为______．
30,"经问卷调查，某班学生对摄影分别持“喜欢”、“不喜欢”和“一般”三种态度，其中持“一般”态度的学生比持“不喜欢”的学生多12人，按分层抽样的方法（抽样过程中不需要剔除个体）从全班选出部分学生进行关于摄影的座谈．若抽样得出的9位同学中有5位持“喜欢”态度的同学，1位持“不喜欢”态度的同学和3位持“一般”态度的同学，则全班持“喜欢”态度的同学人数为[  ]","经问卷调查$，某班学生对摄影分别持“喜欢”、“不喜欢”和“一般”三种态度#，其中持“一般”态度的学生比持“不喜欢”的学生多12人#，按分层抽样的方法（抽样过程中不需要剔除个体）从全班选出部分学生进行关于摄影的座谈．若抽样得出的9位同学中有5位持“喜欢”态度的同学$，1位持“不喜欢”态度的同学和3位持“一般”态度的同学#，则全班持“喜欢”态度的同学人数为[  ]"
31,一所中学有高一、高二、高三学生共1600名，其中高三学生400名．如果通过分层抽样的方法从全体高中学生中抽取一个160人的样本，那么应当从高三年级的学生中抽取的人数是______．,一所中学有高一、高二、高三学生共1600名#，其中高三学生400名．如果通过分层抽样的方法从全体高中学生中抽取一个160人的样本#，那么应当从高三年级的学生中抽取的人数是______．
32,"在1000个球中有红球50个，从中抽取100个进行分析，如果用分层抽样的方法对球进行抽样，则应抽红球[     ]","在1000个球中有红球50个#，从中抽取100个进行分析#，如果用分层抽样的方法对球进行抽样#，则应抽红球[     ]"
33,一个单位有职工500人，其中不到35岁的有125人，35岁至49岁的有280人，50岁及50岁以上的有95人，为了了解这个单位职工与身体状态有关的某项指标，要从中抽取100名职工作为样本，职工年龄与这项指标有关，应该怎样抽取？,一个单位有职工500人#，其中不到35岁的有125人#，35岁至49岁的有280人#，50岁及50岁以上的有95人#，为了了解这个单位职工与身体状态有关的某项指标#，要从中抽取100名职工作为样本#，职工年龄与这项指标有关#，应该怎样抽取？
34,"某中学高一年级有540人，高二年级有440人，高三年级有420人，用分层抽样的方法抽取样本容量为70的样本，则高一、高二、高三三个年级分别抽取[     ]","某中学高一年级有540人#，高二年级有440人#，高三年级有420人#，用分层抽样的方法抽取样本容量为70的样本#，则高一、高二、高三三个年级分别抽取[     ]"
35,"某学校共有老、中、青职工200人，其中有老年职工60人，中年职工人数与青年职工人数相等，现采用分层抽样的方法抽取部分职工进行调查，已知抽取的老年职工有12人，则抽取的青年职工应有[  ]","某学校共有老、中、青职工200人#，其中有老年职工60人#，中年职工人数与青年职工人数相等#，现采用分层抽样的方法抽取部分职工进行调查#，已知抽取的老年职工有12人#，则抽取的青年职工应有[  ]"
36,"一个公司有240名员工，下设一些部门，要采用分层抽样的方法从全体员工中抽取一个容量为20的样本，已知某部门有60名员工，那么从这一部门抽取的员工人数是（    ）。","一个公司有240名员工#，下设一些部门#，要采用分层抽样的方法从全体员工中抽取一个容量为20的样本#，已知某部门有60名员工#，那么从这一部门抽取的员工人数是（    ）。"
37,"某学校高三年级有男生300人，女生360人，为调查他们对某项活动的满意程度，拟采用分层抽样的方法，从高三全体学生中抽出一个容量为55的样本，其中应抽取的女生人数为（    ）。","某学校高三年级有男生300人#，女生360人#，为调查他们对某项活动的满意程度#，拟采用分层抽样的方法$，从高三全体学生中抽出一个容量为55的样本#，其中应抽取的女生人数为（    ）。"
38,"﻿某校有学生1000人，其中高一学生400人，为调查学生了解消防知识的现状，采用按年级分层抽样的方法，从该校学生中抽取一个40人的样本，那么样本中高一学生的人数为[     ]","﻿某校有学生1000人#，其中高一学生400人#，为调查学生了解消防知识的现状#，采用按年级分层抽样的方法$，从该校学生中抽取一个40人的样本#，那么样本中高一学生的人数为[     ]"
39,"某中学高中部有三个年级，其中高一年级有学生400人，采用分层抽样法抽取一个容量为45的样本，高二年级抽取15人，高三年级抽取10人，那么高中部的学生数为（    ）．

","某中学高中部有三个年级#，其中高一年级有学生400人#，采用分层抽样法抽取一个容量为45的样本#，高二年级抽取15人#，高三年级抽取10人#，那么高中部的学生数为（    ）．

"
40,"将一个总体为A、B、C三层，其个体数之比为5：3：2．若用分层抽样方法抽取容量为100的样本，则应从C中抽取（    ）个个体．
","将一个总体为A、B、C三层$，其个体数之比为5：3：2．若用分层抽样方法抽取容量为100的样本#，则应从C中抽取（    ）个个体．
"
41,"课题组进行城市空气质量调查，按地域把24个城市分成甲、乙、丙三组，对应城市数之比为1：3：2．若用分层抽样抽取6个城市，则丙组中应抽取的城市数为[     ]

","课题组进行城市空气质量调查#，按地域把24个城市分成甲、乙、丙三组$，对应城市数之比为1：3：2．若用分层抽样抽取6个城市#，则丙组中应抽取的城市数为[     ]

"
42,"某高三年级共有学生1750名，为了调查学生的身体健康状况，采用分层抽样法抽取一个容量为250的样本．已知样本容量中女生比男生少20人，则该校的女生人数是（    ）人．
","某高三年级共有学生1750名#，为了调查学生的身体健康状况#，采用分层抽样法抽取一个容量为250的样本．已知样本容量中女生比男生少20人#，则该校的女生人数是（    ）人．
"
43,"某单位有青年职工160人，中年职工人数是老年职工人数的2倍，老、中、青职工共有430人．为了解职工身体状况，现采用分层抽样方法进行调查，在抽取的样本中有青年职工32人，则该样本中的老年职工人数为 [     ]

","某单位有青年职工160人#，中年职工人数是老年职工人数的2倍#，老、中、青职工共有430人．为了解职工身体状况#，现采用分层抽样方法进行调查#，在抽取的样本中有青年职工32人#，则该样本中的老年职工人数为 [     ]

"
44,"某市A、B、C三所学校共有高三文科学生1200人，且A、B、C三校的高三文科学生人数成等差数列，在高三第一学期期末的全市联考后，准备用分层抽样的方法从所有高三文科学生中抽取容量为120的样本，进行成绩分析，则应从B校学生中抽取（    ）人
","某市A、B、C三所学校共有高三文科学生1200人#，且A、B、C三校的高三文科学生人数成等差数列#，在高三第一学期期末的全市联考后#，准备用分层抽样的方法从所有高三文科学生中抽取容量为120的样本$，进行成绩分析#，则应从B校学生中抽取（    ）人
"
45,"若工厂生产A、B、C三种不同型号的产品，产品数量之比依次为3：4：7．现用分层抽样方法抽出一个容量为n的样本，样本中B型号产品有28件，那么样本的容量n=[     ]

","若工厂生产A、B、C三种不同型号的产品$，产品数量之比依次为3：4：7．现用分层抽样方法抽出一个容量为n的样本#，样本中B型号产品有28件#，那么样本的容量n=[     ]

"
46,"某校有学生4500人，其中高三学生1500人．为了解学生的身体素质情况，采用按年级分层抽样的方法，从该校学生中抽取一个300人的样本．则样本中高三学生的人数为[     ]

","某校有学生4500人#，其中高三学生1500人．为了解学生的身体素质情况#，采用按年级分层抽样的方法$，从该校学生中抽取一个300人的样本．则样本中高三学生的人数为[     ]

"
47,"甲校有3600名学生，乙校有5400名学生，丙校有1800名学生，为统计三校学生某方面的情况，计划采用分层抽样法，抽取一个样本容量为90人的样本，应在这三校分别抽取学生[     ]

","甲校有3600名学生#，乙校有5400名学生#，丙校有1800名学生#，为统计三校学生某方面的情况#，计划采用分层抽样法$，抽取一个样本容量为90人的样本#，应在这三校分别抽取学生[     ]

"
48,"某单位有职工161人，其中业务员有104人，管理人员33人，后勤服务人员24人，现用分层抽样法从中抽取一容量为20的样本，则抽取管理人员（　　）


","某单位有职工161人#，其中业务员有104人#，管理人员33人#，后勤服务人员24人#，现用分层抽样法从中抽取一容量为20的样本#，则抽取管理人员（　　）


"
49,"某单位有职工100人，不到35岁的有45人，35岁到49岁的25人，剩下的为50岁以上的人，现在抽取20人进行分层抽样，各年龄段人数分别是[     ]
","某单位有职工100人#，不到35岁的有45人#，35岁到49岁的25人#，剩下的为50岁以上的人#，现在抽取20人进行分层抽样#，各年龄段人数分别是[     ]
"
50,"某校老、中、青老师的人数分别为80、160、240．现要用分层抽样的方法抽取容量为60的样本参加普通话测试，则应抽取的中年老师的人数为（    ）．

","某校老、中、青老师的人数分别为80、160、240．现要用分层抽样的方法抽取容量为60的样本参加普通话测试#，则应抽取的中年老师的人数为（    ）．

"
51,"一支田径运动队有男运动员56人，女运动员42人．现用分层抽样的方法抽取若干人，若抽取的男运动员有8人，则抽取的女运动员有（    ）人。

","一支田径运动队有男运动员56人#，女运动员42人．现用分层抽样的方法抽取若干人#，若抽取的男运动员有8人#，则抽取的女运动员有（    ）人。

"
52,"某个年级有男生560人，女生420人，用分层抽样的方法从该年级全体学生中抽取一个容量为280的样本，则此样本中男生人数为（    ）。

","某个年级有男生560人#，女生420人#，用分层抽样的方法从该年级全体学生中抽取一个容量为280的样本#，则此样本中男生人数为（    ）。

"
53,"用分层抽样的方法从某高中学校学生中抽取一个容量为55的样本参加问卷调查，其中高一年级、高二年级分别抽取10人、25人．若该校高三年级共有学生400人，则该校高一和高二年级的学生总数为（    ）人．
","用分层抽样的方法从某高中学校学生中抽取一个容量为55的样本参加问卷调查#，其中高一年级、高二年级分别抽取10人、25人．若该校高三年级共有学生400人#，则该校高一和高二年级的学生总数为（    ）人．
"
54,"某所大学的计算机工程学院的大一新生有160人，其中男生95人，女生65人，现在要抽取一个容量为20的样本，若用分层抽样，女生应抽取（    ）人

","某所大学的计算机工程学院的大一新生有160人#，其中男生95人#，女生65人#，现在要抽取一个容量为20的样本#，若用分层抽样#，女生应抽取（    ）人

"
55,"某公司现有职员160人，中级管理人员30人，高级管理人员10人，要从其中抽取20个人进行身体健康检查，如果采用分层抽样的方法，则职员、中级管理人员和高级管理人员各应该抽取多少[     ]

","某公司现有职员160人#，中级管理人员30人#，高级管理人员10人#，要从其中抽取20个人进行身体健康检查#，如果采用分层抽样的方法#，则职员、中级管理人员和高级管理人员各应该抽取多少[     ]

"
56,"一个单位有职工800人，其中具有高级职称的160人，具有中级职称的320人，具有初级职称的200人，其余人员120人，为了解职工收入情况，决定采用分层抽样的方法从中抽取样本．若样本中具有初级职称的职工为10人，则样本容量为（　　）


","一个单位有职工800人#，其中具有高级职称的160人#，具有中级职称的320人#，具有初级职称的200人#，其余人员120人#，为了解职工收入情况$，决定采用分层抽样的方法从中抽取样本．若样本中具有初级职称的职工为10人#，则样本容量为（　　）


"
57,"某校高三有1000个学生，高二有1200个学生，高一有1500个学生，现按年级分层抽样，调查学生的视力情况，若高一抽取75人，则全校共抽取（    ）

","某校高三有1000个学生#，高二有1200个学生#，高一有1500个学生#，现按年级分层抽样$，调查学生的视力情况#，若高一抽取75人#，则全校共抽取（    ）

"
58,"用分层抽样的方法，从某学校的高中学生中抽取一个容量为45的样本，其中高一年级抽取20人，高三年级抽取10人，又已知该校高二年级学生300人，则该校高中学生的总人数为（    ）

","用分层抽样的方法$，从某学校的高中学生中抽取一个容量为45的样本#，其中高一年级抽取20人#，高三年级抽取10人#，又已知该校高二年级学生300人#，则该校高中学生的总人数为（    ）

"
59,"某校高三680名学生(其中男生360名、女生320名)在学术报告厅听了应考心理讲座,为了解有关情况,学校用分层抽样的方法抽取了一个样本,已知该样本中的女生人数为16名,那么该样本中的男生人数为[     ]


","某校高三680名学生(其中男生360名、女生320名)在学术报告厅听了应考心理讲座#,为了解有关情况#,学校用分层抽样的方法抽取了一个样本#,已知该样本中的女生人数为16名#,那么该样本中的男生人数为[     ]


"
60,"﻿总体已经分成A，B，C三层，A，B，C三层个体数之比为2：3：5，现从总体中抽取容量为20的一个样本，已知A层中用简单随机抽样抽取样本时，甲被抽到的概率为1/4，则总体的个体个数为（　　）

","﻿总体已经分成A$，B$，C三层#，A$，B$，C三层个体数之比为2：3：5#，现从总体中抽取容量为20的一个样本#，已知A层中用简单随机抽样抽取样本时$，甲被抽到的概率为1/4#，则总体的个体个数为（　　）

"
61,"某公司有员工150人，其中50岁以上的有15人，35--49岁的有45人，不到35岁的有90人．为了调查员工的身体健康状况，采用分层抽样方法从中抽取30名员工，则各年龄段人数分别为（　　）
","某公司有员工150人#，其中50岁以上的有15人#，35--49岁的有45人#，不到35岁的有90人．为了调查员工的身体健康状况#，采用分层抽样方法从中抽取30名员工#，则各年龄段人数分别为（　　）
"
62,"一支田径队有男运动员112人，女运动员84人，用分层抽样的方法从全体男运动员中抽出了32人，则应该从女运动员中抽出的人数为（　　）
","一支田径队有男运动员112人#，女运动员84人#，用分层抽样的方法从全体男运动员中抽出了32人#，则应该从女运动员中抽出的人数为（　　）
"
63,"为了了解某社区居民是否准备收看奥运会开幕式，某记者分别从社区的60～70岁，40～50岁，20～30岁的三个年龄段中的160，240，X人中，采用分层抽样的方法共抽出了30人进行调查，若60～70岁这个年龄段中抽查了8人，那么x为（　　）

","为了了解某社区居民是否准备收看奥运会开幕式#，某记者分别从社区的60～70岁$，40～50岁$，20～30岁的三个年龄段中的160$，240$，X人中#，采用分层抽样的方法共抽出了30人进行调查#，若60～70岁这个年龄段中抽查了8人#，那么x为（　　）

"
64,"某校现有高一学生210人，高二学生270人，高三学生300人，学校学生会用分层抽样的方法从这三个年级的学生中随机抽取n名学生进行问卷调查，如果已知从高一学生中抽取的人数为7，那么从高三学生中抽取的人数应为（　　）


","某校现有高一学生210人#，高二学生270人#，高三学生300人#，学校学生会用分层抽样的方法从这三个年级的学生中随机抽取n名学生进行问卷调查#，如果已知从高一学生中抽取的人数为7#，那么从高三学生中抽取的人数应为（　　）


"
65,"某校有老师300人，男学生1200人，女学生1000人．现用分层抽样的方法从所有师生中抽取一个容量为n的样本，已知从女学生中抽取的人数为80，则n=（　　）

","某校有老师300人#，男学生1200人#，女学生1000人．现用分层抽样的方法从所有师生中抽取一个容量为n的样本#，已知从女学生中抽取的人数为80#，则n=（　　）

"
66,"某市有大型、中型与小型商店共1500家，它们的家数之比为1∶5∶9。用分层抽样抽取其中的30家进行调查，则中型商店应抽出（）家。
","某市有大型、中型与小型商店共1500家$，它们的家数之比为1∶5∶9。用分层抽样抽取其中的30家进行调查#，则中型商店应抽出（）家。
"
67,"某学校有初中生1100人，高中生900人，教师100人，现对学校的师生进行样本容量为n的分层抽样调查，已知抽取的高中生为60人，则样本容量n=______．
","某学校有初中生1100人#，高中生900人#，教师100人#，现对学校的师生进行样本容量为n的分层抽样调查#，已知抽取的高中生为60人#，则样本容量n=______．
"
68,某大学有三个系，A系有10名教师，B系有20名教师，C系有30名教师，甲是B系主任，如果学校决定采用分层抽样的方法选举6位教师组成“教授联席会”，那么，甲被选中的概率为（　　）,某大学有三个系#，A系有10名教师#，B系有20名教师#，C系有30名教师#，甲是B系主任#，如果学校决定采用分层抽样的方法选举6位教师组成“教授联席会”#，那么$，甲被选中的概率为（　　）
69,"国家准备出台调整个人收入所得税方面的政策，各地举行各行业收入的入户调查．某住宅小区约有公务员120人，公司职员200人，教师80人，现采用分层抽样的方法抽取容量为20人的样本进行调查，则公务员、公司职员、教师各抽取的人数为______．
","国家准备出台调整个人收入所得税方面的政策#，各地举行各行业收入的入户调查．某住宅小区约有公务员120人#，公司职员200人#，教师80人#，现采用分层抽样的方法抽取容量为20人的样本进行调查#，则公务员、公司职员、教师各抽取的人数为______．
"
70,"某社区对居民进行上海世博会知晓情况分层抽样调查．已知该社区的青年人、中年人和老年人分别有800人、1600人、1400人，若在老年人中的抽样人数是79，则在中年人中的抽样人数应该是______．
","某社区对居民进行上海世博会知晓情况分层抽样调查．已知该社区的青年人、中年人和老年人分别有800人、1600人、1400人#，若在老年人中的抽样人数是79#，则在中年人中的抽样人数应该是______．
"
71,"﻿某市有400家超市，其中大型超市有40家，中型超市有120家，小型超市有240家．为了掌握各超市的营业情况，要从中抽取一个容量为20的样本．若采用分层抽样的方法，抽取的中型超市数是（　　）
","﻿某市有400家超市#，其中大型超市有40家#，中型超市有120家#，小型超市有240家．为了掌握各超市的营业情况#，要从中抽取一个容量为20的样本．若采用分层抽样的方法#，抽取的中型超市数是（　　）
"
72,"某市有大型超市200家、中型超市400家、小型超市1400家．为掌握各类超市的营业情况，现按分层抽样方法抽取一个容量为100的样本，应抽取中型超市（    ）家
","某市有大型超市200家、中型超市400家、小型超市1400家．为掌握各类超市的营业情况#，现按分层抽样方法抽取一个容量为100的样本#，应抽取中型超市（    ）家
"
